Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50892212,"These Violent Delights (These Violent Delights, #1)",Chloe Gong,"Gong, Chloe",,"=""1534457690""","=""9781534457690""",0,3.84,Margaret K. McElderry Books,Hardcover,449,2020,2020,,2024/01/31,"to-read, fantasy","to-read (#39), fantasy (#33)",to-read,,,,0,0
35796008,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""1250159016""","=""9781250159014""",0,4.15,Henry Holt and Co. (BYR),Hardcover,512,2018,2018,,2024/01/25,"to-read, fantasy","to-read (#36), fantasy (#32)",to-read,,,,0,0
41743264,"Reina roja (Antonia Scott, #1)",Juan Gómez-Jurado,"Gómez-Jurado, Juan",Fran Ferriz,"=""8466664416""","=""9788466664417""",0,4.09,Ediciones B,Hardcover,568,2018,2018,,2024/01/25,"to-read, thriller","to-read (#37), thriller (#10)",to-read,,,,0,0
53968496,"The Prison Healer (The Prison Healer, #1)",Lynette Noni,"Noni, Lynette",,"=""0358434556""","=""9780358434559""",0,4.20,Clarion Books,Hardcover,416,2021,2021,,2024/01/25,"to-read, fantasy","to-read (#35), fantasy (#31)",to-read,,,,0,0
59227936,"Belladonna (Belladonna, #1)",Adalyn  Grace,"Grace, Adalyn",,"=""0316158232""","=""9780316158237""",0,4.01,"Little, Brown and Company",Hardcover,409,2022,2022,,2024/01/25,"to-read, fantasy","to-read (#34), fantasy (#30)",to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.19,Harper Voyager,Hardcover,544,2022,2022,,2024/01/23,"to-read, fantasy","to-read (#33), fantasy (#29)",to-read,,,,0,0
197763404,Asistente del villano,Hannah Nicole Maehrer,"Maehrer, Hannah Nicole",Nerea Gilabert Giménez,"=""8419988006""","=""9788419988003""",0,3.90,Faeris Editorial,Paperback,464,2023,2023,,2024/01/23,"to-read, fantasy","to-read (#31), fantasy (#28)",to-read,,,,0,0
18068486,La verdad sobre el caso Harry Quebert,Joël Dicker,"Dicker, Joël",Juan Carlos Durán Romero,"=""8420414069""","=""9788420414065""",0,4.18,Alfaguara,Paperback,672,2013,2012,,2024/01/16,"to-read, thriller","to-read (#30), thriller (#9)",to-read,,,,0,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.28,,Kindle Edition,523,2023,2023,,2024/01/02,"to-read, fantasy","to-read (#26), fantasy (#26)",to-read,,,,0,0
52735921,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""0316428469""","=""9780316428460""",0,3.89,Jimmy Patterson Books,Hardcover,372,2020,2020,,2024/01/02,"to-read, fantasy","to-read (#25), fantasy (#25)",to-read,,,,0,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha    Shannon,"Shannon, Samantha",,"=""""","=""""",0,4.20,Bloomsbury Publishing,Kindle Edition,848,2019,2019,,2023/10/29,"to-read, fantasy","to-read (#24), fantasy (#24)",to-read,,,,0,0
